subject,description,searched,problem
Blog,"commit issue, local branch behind master?",^^^^^,"local branch behind master, wont register commit"
Financial Analyst,"Would it be possible to know what the ending balance, total income, total expenses, and total overdraft fees are so that we are able to confirm our generated output?",Apollo,I am lacking information or I have to put some more faith in my program.
Getting Oriented - Organization (check answers is not working),"After submitting answers to the Organization part of Getting Oriented Apollo notifies the user that there answers have been checked. After returning to the Getting Oriented page the list shows Organization in a ""Resume"" state rather than a ""Finished"" state. ",N/A,The model portion of MVC has a bug.
Rails Order and Limit,"running rails server and the database does exist but when I run ""Song.order(:title).all"" it tells me 'no matches found: Song.order(:title).all'",Stackoverflow,For some reason the database is not reacting to commands.
models exercise 2,not clear what to do,N/A,N/A
"I think I broke the ""Three Breakable Toy Ideas"" page",The page will not let me update what I have written. This may or may not be due to the fact that I had an underscore in my text data.,"I have not done any searches on this topic, since it is specific to the Launch Academy App.","I think I broke the site by inputting an underscore character, which is then trying to be parsed by the markup module. Where my underscore should be was replaced with an 'em' tag. Then there are an abundance of closing 'em' tags in the source. I think this is preventing the page from submitting data properly."
Apollo improvements,N/A,N/A,"When on the Apollo Dashboard, it is not immediately evident which modules are complete, partially complete, etc. An indicator of some kind would be helpful to show what still needs to be done."
CSS HTML Foundation resize wtf,the browser is overlapping my html elements,everything,Eric said width
Hangman,wont work due to empty char-class: /[^]/ (RegexpError),http://stackoverflow.com/questions/10901122/premature-end-of-char-class-in-interpolated-regex,I dont have a character in the array so it is coming up with an error
Getting started with CSV,it is coming up with the wrong information in the console...Wont start at jan 1,apollo,no idea
My answers disappeared when I clicked Check Answers,On the scaffolding assignment my answers disappeared when I tried to http://apollo.launchacademy.co/assignments/192,I asked Ashley if it happened to her,??
Resetting Hangman variables for repeat games,"After the game ends, the user has an option for another game. To do so I need to reset word and some other variables. I have 4 instances where all of the variables are being reset. That doesn't look very DRY and makes it look messy. How can I make it more elegant? 

Gist: https://gist.github.com/ksdaly/50497623e8298e74740f
Variables in question:
random_index=rand(0...word_array.length)
word=word_array[random_index].strip
letter_count=word.length
hashed_word=""*""*letter_count
chances=8
input_array=[]",StackOveflow and general googling,"I tried putting it into a method, but I am getting the wrong scope (I think) as the rest of the code has no access to the method. How can I put the variables into something like game_reset that I could call when required?"
Financial Tracker,Problems with my check for overdrafts.,each_with_index, I used each with index to get the location of every overdraft but now I want to print the coresponding description and date based on those overdrafts
CSS files that are generated in the Rails scaffolding ,I'm unsure about the purpose of each CSS file and how each CSS file relates to the generated html files. ,Rails scaffolding,I believe (in our bookmarks example) that the scaffold.css.scc file is intended to be used with the index.html.erb file. The application.css file can be used to import Bourbon features and I'm not sure how to utilize bookmarks.css.scss. 
User stories,I would like to review my breakable stories with Jason,talked to Sam previously,"I redid some of them and would like an opinion.
https://www.pivotaltracker.com/s/projects/891496"
CSS floats & Neat,"Working on doghub: https://github.com/ksdaly/doghub

I have 2 div's in the nav:
   <div class=""nav-right-container"">
      <ul class=""nav-link-box"">
        <li class=""nav-link"">
          <a href=""#"">explore</a>
        </li>
        <li class=""nav-link"">
          <a href=""#"">features</a>
        </li>
        <li class=""nav-link"">
          <a href=""#"">enterprise</a>
        </li>
        <li class=""nav-link"">
          <a href=""#"">blog</a>
        </li>
      </ul>
      <div class=""nav-signin"">
        <a href=""#"">sign in</a>
      </div>
    </div>

When I float them to the right, they have the reverse order (in comparison to html markup). How do I solve this?","StackOverflow mainly, looked at other site css & html","I imagine that as I float something, it takes the 1st item and moves it right, then the next item is moved, but there already is something so it is moved to the end of the 1st item on the right. 

I wouldn't want to reverse the markup as that imo interferes with the logic. Is there any other option to fix it so that login button is on the far right?"
databases,I don't understand the seeding,the material,I'm not sure what the seeding should be doing.
Question about a challenge,Making sure I understand the directions. ,My brain,Not sure I understand what is being asked. 
Mass-Health Project,"I want to confirm the model setup and discuss how fields with ""n/a"" will be handled. ",Apollo and my data structure notes,Trying to prevent a problem
Quick Challenge,Having issues with the quick challenge. Can't figure out how to loop over all records and return two at at time. Not sure that really makes sense. ,ActiveRecord class,I think either I still don't understand the problem or I don't see how you would be able to accomplish this. 
Blackjack ,"My blackjack game is riddled with bugs. My approach was to design black jack using OO principles. I created a game class and was able to run the game smoothly. The only downside being there was no dealer behavior within the program. Initially, I thought that I should create a player class but hoped I could find a lazier way. My solution was to create a dealer_turn method and call that on my game object. I changed to the other class methods to take arguments for both the player's and the dealer's hand. 

Here is my new blackjack.rb file
https://gist.github.com/TechnoAlchemist/0db59781c8ac6bea92d7

Here is my not broken blackjack file
https://gist.github.com/TechnoAlchemist/f876cdb0e1f924c1fd5c",Kevin Sun was helping me out. ,"I think by changing my instance variables and adding this new method. The ruby interpreter thinks certain methods are undefined and certain objects such as arrays are no longer arrays. In short, I broke my game by being lazy and probably need to write separate classes for deck, players, and game. "
Completion Tab on Assignments (Suggestion),"It would be a nice edition to have a Checkmark (or other symbol) that is displayed at the front of the page to show if we have completed a section or not. Currently, we have to look into the specific section to see if all the assignments were ""Submitted"". This would tell us that without having to look through each individual section. 

Another addition, is perhaps having  ""2/5"" next to the section to indicate that i have completed 2 of the 5 assignments here. This way i know where i am with all the material instead of checking individual sections. ",None,Suggestion
Hashes,"I don't understand them. Let me rephrase, I understand them but do not know how to use them probably. I understand the key value relationship and how to find data types within in a single hash. Things get complicated when I nest a hash into an array or a hash within a hash. Also iterating through a hash has proven problematic especially if it is in a data structure. ","Ruby Docs, Prag Studio, previous review assignments and stack overflow ",I think that I'm not specifying the value for the particularly data type I'm looking for. I haven't even started this morning Ruby's Katas because of my ignorance of hashes. 
valid_attribute & foreign keys & inverse_of,"I am not sure if and how to test foreign key validation.

Also, not sure if and where to put inverse for 'has many through' association.","stackoverflow, google",could not find any good answers.
OOblackjack,"relationship between methods and instances, and using methods on an instance of a different class.",How to use methods from one class on an instance of another class,"I'm calling methods incorrectly, and on the wrong instances of objects"
Install zsh theme,Help me install oh my zsh,google,don't know how to do it
Completion Tab on Assignments (Suggestion),"It would be a nice edition to have a Checkmark (or other symbol) that is displayed at the front of the page to show if we have completed a section or not. Currently, we have to look into the specific section to see if all the assignments were ""Submitted"". This would tell us that without having to look through each individual section. 

Another addition, is perhaps having  ""2/5"" next to the section to indicate that i have completed 2 of the 5 assignments here. This way i know where i am with all the material instead of checking individual sections. ",None,Suggestion
